ID	age	gender	order	experiment	trial	trial.start.time	signal	humanResp	humanRT	autoResp	autoRT	trialACC	stimlength
1	19	Female	1	prac	1	741.517533064	1	0	4.86705207825	1	0.25	0	3.06902951852	
1	19	Female	1	prac	2	747.392620087	1	1	2.13604998589	1	0.25	1	2.93545119442	
1	19	Female	1	prac	3	750.545528173	0	0	1.0870859623	0	0.25	1	2.24561489549	
1	19	Female	1	prac	4	752.639536142	1	1	0.961109876633	1	0.25	1	2.8362575328	
1	19	Female	1	prac	5	754.616075993	1	1	1.52054309845	1	0.25	1	2.64858014139	
1	19	Female	1	prac	6	757.145341158	0	0	1.01532411575	0	0.25	1	2.37649621518	
1	19	Female	1	prac	7	759.168738127	0	0	1.07201385498	0	0.25	1	1.9917255759	
1	19	Female	1	prac	8	761.251237154	1	1	1.01345300674	1	0.25	1	2.73161219157	
1	19	Female	1	prac	9	763.274600983	1	1	1.05411982536	1	0.25	1	2.85081028605	
1	19	Female	1	prac	10	765.345148087	1	1	1.15957903862	1	0.25	1	2.94950960612	
1	19	Female	1	prac	11	767.521659136	0	0	1.07909417152	0	0.25	1	2.31804299608	
1	19	Female	1	prac	12	769.615741014	1	1	0.95300412178	1	0.25	1	2.76224869762	
1	19	Female	1	prac	13	771.580346107	1	1	0.916370868683	1	0.25	1	2.50161762427	
1	19	Female	1	prac	14	773.509791136	0	0	0.770924091339	0	0.25	1	2.16546236532	
1	19	Female	1	prac	15	775.28612709	0	1	1.35460400581	0	0.25	0	2.28241944404	
1	19	Female	1	prac	16	777.651067019	0	0	1.22972583771	0	0.25	1	2.21208184367	
1	19	Female	1	prac	17	779.897819996	1	1	0.766984224319	1	0.25	1	2.82550516377	
1	19	Female	1	prac	18	781.674417019	1	1	0.998370885849	1	0.25	1	2.70414238066	
1	19	Female	1	prac	19	783.68595314	0	1	0.810883998871	0	0.25	0	2.41776041616	
1	19	Female	1	prac	20	785.509670973	0	0	1.33110904694	0	0.25	1	2.18035954783	
1	19	Female	1	prac	1	2274.13404918	0	0	1.69192504883	0	0.25	1	2.08275005277	
1	19	Female	1	prac	2	2276.85066915	1	0	1.42230510712	1	0.25	1	2.65691293911	
1	19	Female	1	prac	3	2279.29781008	0	0	1.01040482521	0	0.25	1	1.99673825596	
1	19	Female	1	prac	4	2281.33292317	1	0	1.10474395752	1	0.25	1	2.98548390675	
1	19	Female	1	prac	5	2283.46224213	0	0	0.763543844223	0	0.25	1	2.4954036715	
1	19	Female	1	prac	6	2285.25052905	0	0	0.895377874374	0	0.25	1	2.09788889773	
1	19	Female	1	prac	7	2287.17987704	0	0	1.0224211216	0	0.25	1	2.42072401572	
1	19	Female	1	prac	8	2289.22697902	1	0	0.998720884323	1	0.25	1	2.9196602002	
1	19	Female	1	prac	9	2291.25035	1	0	0.881190061569	1	0.25	1	2.68592968359	
1	19	Female	1	prac	10	2293.15635204	1	0	1.01043081284	1	0.25	1	2.93246151444	
1	19	Female	1	prac	11	2295.19150805	1	0	0.89288187027	1	0.25	1	2.90404200715	
1	19	Female	1	prac	12	2297.10915804	0	0	0.857567071915	0	0.25	1	2.07246523648	
1	19	Female	1	prac	13	2298.99147201	1	0	1.42235898972	1	0.25	1	2.82992679505	
1	19	Female	1	prac	14	2301.4385941	0	0	0.963478088379	0	0.25	1	2.31631532144	
1	19	Female	1	prac	15	2303.42673898	1	0	0.91886806488	1	0.25	1	2.94790649282	
1	19	Female	1	prac	16	2305.37961411	0	0	0.975238084793	0	0.25	1	2.25931179655	
1	19	Female	1	prac	17	2307.37955308	1	0	0.763476848602	1	0.25	1	2.91117800474	
1	19	Female	1	prac	18	2309.16778302	1	0	0.881146907806	1	0.25	1	2.62072802767	
1	19	Female	1	prac	19	2311.07364702	0	0	1.10467195511	0	0.25	1	2.08037812301	
1	19	Female	1	prac	20	2313.20304799	1	0	0.775228023529	1	0.25	1	3.05807057145	
