Q1,Q2,Q3,A3,A10,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12
31,1,1,More,1,4,4,6,5,6,2,4,3,3,3,3,6
32,1,1,More,2,5,2,2,4,4,3,3,4,3,3,4,4
33,1,1,More,1,2,2,,,,7,6,6,7,7,7,6
34,1,1,More,2,3,2,4,3,2,4,4,5,3,3,2,1
35,1,2,More,1,,2,,,,6,6,6,7,6,6,4
36,1,2,More,2,4,3,3,4,3,4,3,4,4,3,3,4
37,1,2,More,1,4,3,5,5,1,6,4,2,5,3,2,4
38,1,2,More,2,3,4,4,5,1,4,4,5,4,5,4,5
39,1,1,More,1,5,4,2,3,2,3,2,2,3,2,2,2
40,2,1,More,2,3,2,4,3,2,4,4,5,5,5,5,5
42,2,1,More,2,5,4,3,3,4,5,5,4,5,5,5,4
43,1,2,More,1,1,1,1,1,1,6,6,5,6,6,6,5
45,2,2,More,1,3,5,5,5,5,2,2,2,3,3,3,2
31,1,1,Less,1,6,5,5,6,6,2,2,2,2,2,2,4
32,1,1,Less,2,4,4,6,6,4,4,3,3,3,4,4,4
33,1,1,Less,1,5,4,4,7,2,1,1,1,3,2,1,4
34,1,1,Less,2,3,3,3,3,4,1,1,2,2,2,2,1
35,1,2,Less,1,2,2,3,2,2,2,,2,2,2,2,3
36,1,2,Less,2,4,3,3,4,2,4,3,4,4,4,4,4
37,1,2,Less,1,4,3,7,7,3,2,4,1,3,4,2,2
38,1,2,Less,2,3,4,5,4,1,6,6,5,6,6,6,5
39,1,1,Less,1,6,3,3,2,2,2,2,2,4,3,2,3
40,2,1,Less,2,2,2,2,2,2,5,4,5,5,5,5,5
42,2,1,Less,2,5,5,5,5,5,2,2,2,2,2,2,4
43,1,2,Less,1,5,4,6,6,3,2,2,2,2,2,2,2
45,2,2,Less,1,2,3,5,6,6,5,2,3,2,3,3,4
